brand,distress,waist_rise,length,fit,number_of_pockets,stretch,price,rating,number_of_ratings
Marks & Spencer,Clean Look,Mid-Rise,Regular,Slim Fit,5,Non Stretchable,1119,4.8,13
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.4,259
Urbano Fashion,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,601,3.9,17100
Levis,Clean Look,Mid-Rise,Regular,Tapered Fit,5,Stretchable,1829,4.1,96
Jack & Jones,Clean Look,Mid-Rise,Regular,Bootcut,5,Stretchable,2124,4.4,148
The Indian Garage Co,Mildly Distressed,Mid-Rise,Regular,Slim Fit,3,Stretchable,719,3.9,12900
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1199,4.3,6500
HIGHLANDER,Clean Look,Mid-Rise,Cropped,Slim Fit,6 and more,Stretchable,664,4.0,8300
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,543,4.0,895
Bene Kleed,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Non Stretchable,999,4.0,9000
HIGHLANDER,Clean Look,Mid-Rise,Cropped,Tapered Fit,5,Stretchable,628,3.8,27800
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1563,4.2,896
Roadster,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,659,3.8,7000
Bene Kleed,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Non Stretchable,999,4.0,9000
Mast & Harbour,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1074,3.7,1500
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1829,4.4,181
Hubberholme,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,1359,4.0,252
Bene Kleed,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Non Stretchable,999,4.0,9000
HERE&NOW,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,699,4.1,705
Levis,Clean Look,Mid-Rise,Regular,Tapered Fit,5,Stretchable,1499,4.3,6500
The Indian Garage Co,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,659,3.9,12900
Mast & Harbour,Clean Look,Mid-Rise,Regular,Tapered Fit,5,Stretchable,911,3.5,1400
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Non Stretchable,1074,4.3,22
HERE&NOW,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,659,4.0,129
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,899,3.4,1200
Mast & Harbour,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,1109,4.1,7
Levis,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,1829,4.3,6500
HIGHLANDER,Clean Look,Mid-Rise,Regular,Straight Fit,5,Non Stretchable,599,3.5,277
HERE&NOW,Clean Look,Mid-Rise,Regular,Jogger,6 and more,Stretchable,1257,3.9,38
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.5,32
HIGHLANDER,Clean Look,Mid-Rise,Regular,Straight Fit,6 and more,Stretchable,637,3.9,1100
Urbano Fashion,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,665,4.0,587
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,879,3.9,1200
Mast & Harbour,Low Distress,Mid-Rise,Regular,Regular Fit,5,Stretchable,857,3.9,38
HIGHLANDER,Clean Look,Mid-Rise,Regular,Tapered Fit,5,Stretchable,619,3.8,12700
Marks & Spencer,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,1119,4.5200000000000005,12700
Mast & Harbour,Mildly Distressed,Mid-Rise,Regular,Regular Fit,5,Stretchable,824,4.0,20
HIGHLANDER,Highly Distressed,Mid-Rise,Cropped,Tapered Fit,5,Stretchable,665,3.8,7900
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.2,17
Bene Kleed,Clean Look,Mid-Rise,Regular,Straight Fit,5,Non Stretchable,999,3.8,879
Being Human,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,989,4.2,40
WROGN,Clean Look,Mid-Rise,Regular,Slim Fit,4,Stretchable,1219,3.7,122
WROGN,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1663,4.0,41
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,2073,4.5,23
Ducati,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,1022,4.290000000000001,23
Bewakoof,Clean Look,Mid-Rise,Regular,Straight Fit,6 and more,Non Stretchable,1759,3.9040000000000004,23
HERE&NOW,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,767,4.1,531
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1379,4.3,1400
